,place_name,place_location,place_feature,place_star,operating_time
232,휘닉스제주 글라스하우스,제주특별자치도 서귀포시 성산읍 고성리 46,테마파크시설,,10:00 ~ 21:00
233,토이파크,제주특별자치도 서귀포시 안덕면 동광로 267-7 ,테마파크,,09:00 ~ 20:00
234,런닝맨 제주점,제주특별자치도 서귀포시 중문관광로 42 ,테마파크,,10:00 ~ 19:00
235,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-14 ,테마파크,,10:00 ~ 22:00
236,포레스트사파리,제주특별자치도 제주시 조천읍 선교로 474-1 ,테마파크,,09:00 ~ 17:30
237,중문미로파크,제주특별자치도 서귀포시 일주서로 1225-5 ,테마파크,,
238,제주워터월드,제주특별자치도 서귀포시 월드컵로 33 ,워터테마파크,,
239,제주거울미로 이상한나라의 앨리스,제주특별자치도 서귀포시 안덕면 중산간서로 1881 ,테마파크,2.7점,09:00 ~ 19:00
240,히어로플레이파크 제주점,제주특별자치도 제주시 과원로 128 2층 ,테마파크,,10:30 ~ 20:00
241,가시리 조랑말체험장,제주특별자치도 서귀포시 표선면 가시리 산 54-2,테마파크,,
242,남원용암해수풀장,제주특별자치도 서귀포시 남원읍 남태해안로 140 ,워터테마파크,5.0점,11:00 ~ 17:00
243,세리월드 카트레이싱,제주특별자치도 서귀포시 법환동 881-2,테마파크시설,,
244,제주루지테마파크,제주특별자치도 서귀포시 안덕면 서광리 717-3,테마파크,,
245,무병장수테마파크,제주특별자치도 제주시 애월읍 어음13길 196 ,테마파크,,09:00 ~ 18:00
246,마린파크,제주특별자치도 서귀포시 안덕면 화순중앙로 132 ,테마파크,,09:30 ~ 18:30
247,금호리조트 제주아쿠아나,제주특별자치도 서귀포시 남원읍 태위로 522-12 ,워터테마파크,,
248,휘닉스제주섭지코지 바람의언덕,제주특별자치도 서귀포시 성산읍 고성리 48,테마파크시설,,
249,펀테마파크,제주특별자치도 제주시 조천읍 선교로 266-4 ,테마파크,,09:00 ~ 18:00
250,제주포크테마파크,제주특별자치도 제주시 애월읍 평화로 2119 ,테마파크,,
251,다이노대발이파크 (휴업중),제주특별자치도 서귀포시 남원읍 태위로 536 ,테마파크,3.6점,
252,남제주 나누리파크,제주특별자치도 서귀포시 안덕면 화순리 610,테마파크,5.0점,
253,고스트타운 고스트하우스,제주특별자치도 제주시 애월읍 부룡수길 35-14 ,테마파크시설,,
254,휘닉스제주섭지코지 해안산책로,제주특별자치도 서귀포시 성산읍 고성리 1,테마파크시설,,
255,제주러브랜드 도깨비광장,제주특별자치도 제주시 1100로 2894-72 ,테마파크시설,,
256,렛츠런파크제주 아름다운승마장,제주특별자치도 제주시 애월읍 평화로 2144 ,테마파크시설,,
257,신화워터파크 실내워터파크동,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,테마파크시설,,
258,이상한나라의앨리스 서광카트장,제주특별자치도 서귀포시 안덕면 서광리 771,테마파크시설,,
259,선녀와나무꾼 테마공원 추억의영화마을,제주특별자치도 제주시 조천읍 선교로 267 ,테마파크시설,,
260,제주드론파크,제주특별자치도 제주시 조천읍 남조로 2109-36 ,테마파크,,
261,익스트림아일랜드,제주특별자치도 서귀포시 월드컵로 31 서귀포월드컵경기장 내 ,테마파크시설,,
262,아쿠아플라넷제주 오션데크,제주특별자치도 서귀포시 성산읍 고성리 127-1,테마파크시설,,
263,렛츠런파크제주 매직포니,제주특별자치도 제주시 애월읍 유수암리,테마파크시설,,
264,헤이파크,제주특별자치도 제주시 구좌읍 동복리 산 1,테마파크,,
265,스위스스토어,제주특별자치도 제주시 조천읍 함와로 566-27 ,테마파크,3.0점,
266,휘닉스제주 불턱BBQ,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,테마파크시설,,
267,제주돌문화공원 돌하르방,제주특별자치도 제주시 조천읍 교래리 산 117,테마파크시설,,
268,롯데호텔제주 플레이토피아,제주특별자치도 서귀포시 중문관광로72번길 35 6층 ,테마파크시설,,
269,제주애견공원,제주특별자치도 제주시 애월읍 소길리 195,테마파크,,
270,제주도립미술관,제주특별자치도 제주시 1100로 2894-78 ,미술관,,
